Обработка видео: 1.mp4, 2025-10-21 17:33:08.911871
Всего кадров: 656, Кадров с QR-кодом: 642
Кадр 0: Данные: https://github.com/Cube-module, Координаты: [(747, 358), (1224, 351), (1218, 807), (763, 816)], Уверенность: 0.00
Кадр 1: Данные: https://github.com/Cube-module, Координаты: [(747, 358), (1223, 351), (1218, 807), (763, 816)], Уверенность: 0.00
Кадр 2: Данные: https://github.com/Cube-module, Координаты: [(746, 359), (1223, 351), (1217, 807), (763, 815)], Уверенность: 0.00
Кадр 3: Данные: https://github.com/Cube-module, Координаты: [(746, 358), (1223, 351), (1217, 807), (762, 815)], Уверенность: 0.00
Кадр 4: Данные: https://github.com/Cube-module, Координаты: [(746, 357), (1223, 351), (1217, 806), (762, 815)], Уверенность: 0.00
Кадр 5: Данные: https://github.com/Cube-module, Координаты: [(746, 357), (1223, 350), (1217, 806), (762, 814)], Уверенность: 0.00
Кадр 6: Данные: https://github.com/Cube-module, Координаты: [(747, 357), (1223, 349), (1217, 805), (763, 814)], Уверенность: 0.00
Кадр 7: Данные: https://github.com/Cube-module, Координаты: [(747, 356), (1224, 348), (1218, 804), (763, 812)], Уверенность: 0.00
Кадр 8: Данные: https://github.com/Cube-module, Координаты: [(747, 355), (1224, 347), (1218, 803), (763, 811)], Уверенность: 0.00
Кадр 9: Данные: https://github.com/Cube-module, Координаты: [(748, 354), (1224, 347), (1218, 805), (763, 811)], Уверенность: 0.00
Кадр 10: Данные: https://github.com/Cube-module, Координаты: [(748, 354), (1225, 346), (1218, 802), (764, 811)], Уверенность: 0.00
Кадр 11: Данные: https://github.com/Cube-module, Координаты: [(750, 354), (1225, 346), (1219, 802), (765, 810)], Уверенность: 0.00
Кадр 12: Данные: https://github.com/Cube-module, Координаты: [(749, 354), (1225, 346), (1219, 802), (765, 810)], Уверенность: 0.00
Кадр 13: Данные: https://github.com/Cube-module, Координаты: [(748, 353), (1225, 346), (1219, 802), (765, 810)], Уверенность: 0.00
Кадр 14: Данные: https://github.com/Cube-module, Координаты: [(749, 354), (1225, 346), (1219, 801), (765, 809)], Уверенность: 0.00
Кадр 15: Данные: https://github.com/Cube-module, Координаты: [(750, 353), (1225, 345), (1219, 801), (766, 809)], Уверенность: 0.00
Кадр 16: Данные: https://github.com/Cube-module, Координаты: [(750, 353), (1225, 345), (1219, 800), (765, 808)], Уверенность: 0.00
Кадр 17: Данные: https://github.com/Cube-module, Координаты: [(750, 352), (1225, 345), (1219, 800), (765, 808)], Уверенность: 0.00
Кадр 18: Данные: https://github.com/Cube-module, Координаты: [(750, 352), (1225, 345), (1219, 800), (765, 808)], Уверенность: 0.00
Кадр 19: Данные: https://github.com/Cube-module, Координаты: [(749, 352), (1225, 344), (1219, 800), (765, 808)], Уверенность: 0.00
Кадр 20: Данные: https://github.com/Cube-module, Координаты: [(749, 352), (1225, 344), (1219, 800), (765, 808)], Уверенность: 0.00
Кадр 21: Данные: https://github.com/Cube-module, Координаты: [(749, 351), (1225, 344), (1218, 799), (765, 807)], Уверенность: 0.00
Кадр 22: Данные: https://github.com/Cube-module, Координаты: [(749, 350), (1225, 343), (1218, 798), (764, 806)], Уверенность: 0.00
Кадр 23: Данные: https://github.com/Cube-module, Координаты: [(748, 350), (1224, 343), (1217, 798), (764, 806)], Уверенность: 0.00
Кадр 24: Данные: https://github.com/Cube-module, Координаты: [(748, 349), (1224, 342), (1217, 798), (764, 805)], Уверенность: 0.00
Кадр 25: Данные: https://github.com/Cube-module, Координаты: [(747, 348), (1224, 342), (1217, 797), (763, 805)], Уверенность: 0.00
Кадр 26: Данные: https://github.com/Cube-module, Координаты: [(747, 348), (1224, 340), (1218, 796), (763, 804)], Уверенность: 0.00
Кадр 27: Данные: https://github.com/Cube-module, Координаты: [(747, 346), (1224, 339), (1217, 795), (763, 803)], Уверенность: 0.00
Кадр 28: Данные: https://github.com/Cube-module, Координаты: [(747, 345), (1224, 338), (1217, 796), (763, 802)], Уверенность: 0.00
Кадр 29: Данные: https://github.com/Cube-module, Координаты: [(748, 344), (1225, 337), (1219, 793), (764, 801)], Уверенность: 0.00
Кадр 30: Данные: https://github.com/Cube-module, Координаты: [(749, 344), (1226, 336), (1220, 793), (765, 800)], Уверенность: 0.00
Кадр 31: Данные: https://github.com/Cube-module, Координаты: [(750, 343), (1227, 336), (1220, 794), (766, 800)], Уверенность: 0.00
Кадр 32: Данные: https://github.com/Cube-module, Координаты: [(752, 343), (1229, 336), (1221, 791), (768, 799)], Уверенность: 0.00
Кадр 33: Данные: https://github.com/Cube-module, Координаты: [(754, 342), (1230, 335), (1223, 791), (770, 798)], Уверенность: 0.00
Кадр 34: Данные: https://github.com/Cube-module, Координаты: [(756, 342), (1233, 335), (1225, 790), (772, 798)], Уверенность: 0.00
Кадр 35: Данные: https://github.com/Cube-module, Координаты: [(759, 341), (1236, 334), (1228, 790), (775, 797)], Уверенность: 0.00
Кадр 36: Данные: https://github.com/Cube-module, Координаты: [(761, 340), (1238, 333), (1230, 789), (777, 796)], Уверенность: 0.00
Кадр 37: Данные: https://github.com/Cube-module, Координаты: [(765, 339), (1241, 332), (1233, 787), (780, 794)], Уверенность: 0.00
Кадр 38: Данные: https://github.com/Cube-module, Координаты: [(768, 337), (1244, 330), (1236, 786), (783, 793)], Уверенность: 0.00
Кадр 39: Данные: https://github.com/Cube-module, Координаты: [(771, 336), (1247, 328), (1238, 784), (785, 791)], Уверенность: 0.00
Кадр 40: Данные: https://github.com/Cube-module, Координаты: [(774, 334), (1250, 327), (1241, 782), (788, 789)], Уверенность: 0.00
Кадр 41: Данные: https://github.com/Cube-module, Координаты: [(776, 332), (1252, 325), (1244, 781), (791, 787)], Уверенность: 0.00
Кадр 42: Данные: https://github.com/Cube-module, Координаты: [(779, 330), (1255, 323), (1246, 779), (793, 786)], Уверенность: 0.00
Кадр 43: Данные: https://github.com/Cube-module, Координаты: [(781, 329), (1257, 322), (1247, 777), (794, 784)], Уверенность: 0.00
